id_sesion,rol,texto,emocion
S010,docente,"mmm, hoy las emociones estuvo pesado; me irrita. y me irrita",ansiedad
S072,familia,Siento un nudo por las emociones; enojo.,frustración
S118,familia,"o sea, siento q con la evaluacion voy lento; llorar. ",tristeza
S059,familia,"pues, con la evaluación me siento confundida y salida. y confianza",esperanza
S073,familia,"no se, no se como manejar la tarea; enojo. y me frustra ",frustración
S022,familia,"en fin, siento un nudo por la comunicación; ánimo. y salida",esperanza
S046,familia,Siento que con los cambios voy lento; calma. y serena,calma
S147,familia,"la verdad, no sé cómo manejar la conducta; esperanza. 🙂",esperanza
S084,familia,Hoy la rutina estuvo pesado; vacío. y llorar,tristeza
S104,familia,"mmm, con las emociones me siento tensa y me frustra. y enojo",frustración
S068,familia,"en fin, siento que con la escuela voy lento; me pone triste. y vacío",tristeza
S109,familia,"a veces, estoy intentando con la tarea y frustracion.",frustración
S007,familia,"mmm, estoy intentando con el descanso y me pone triste. y me duele",tristeza
S147,familia,Con la atencion me siento inquieta y va a mejorar.,esperanza
S091,familia,"tal vez, con la evaluacion me siento contenta y me frustra.",frustración
S053,familia,"como que, estoy intentando con las emociones y frustracion. y me irrita",frustración
S077,docente,"o sea, quisiera entender la tarea para estar mejor; calma.",calma
S085,familia,A ratos estoy estresada; vacio.,tristeza
S126,familia,Hoy la comunicación estuvo pesado; me pone triste.,tristeza
S151,docente,"pues, hoy la atención estuvo pesado; contenta.",alegría
S030,familia,"en fin, quisiera entender la atencion para estar mejor; respiro.",calma
S006,docente,"no sé, quisiera entender la escuela para estar mejor; alegría.",alegría
S086,familia,Estoy intentando con el descanso y salida.,esperanza
S090,familia,"tal vez, quisiera entender la conducta para estar mejor; ánimo. y esperanza 😮‍💨",esperanza
S053,familia,"como que, siento que con las emociones voy lento; tristeza. 😮‍💨",tristeza
S145,familia,"pues, quisiera entender la tarea para estar mejor; esperanza. 🙂",esperanza
S160,familia,"tal vez, hoy las emociones estuvo pesado; frustracion.",frustración
S076,familia,"pues, siento un nudo por los cambios; miedo. 😮‍💨",ansiedad
S048,familia,"pues, siento un nudo por los cambios; serena. y serena 😮‍💨",calma
S143,familia,"o sea, a ratos estoy confundida; feliz. 😔",esperanza
S089,docente,"en fin, siento un nudo por los cambios; enojo.",frustración
S156,familia,"tal vez, no sé cómo manejar la atención; me irrita. 😔",frustración
S038,familia,Con la atención me siento estresada y tranquila.,calma
S140,familia,"noo se, estoy intentando con la evaluacion y llorar. y llorar 😔",tristeza
S102,familia,"siento q, me cansa los cambios, pero sigo; tranquila. y respiro 🙂",calma
S157,docente,"a veces, siento un nudo por la comunicación; ilusión. y alegría",alegría
S148,docente,Estoy intentando con la rutina y me irrita.,tristeza
S146,familia,Hoy la conducta estuvo pesado; enojo. y me frustra,frustración
S058,docente,"o sea, quisiera entender la comunicacion para estar mejor; confianza.",esperanza
S070,familia,"Me cansa la conducta, pero sigo; esperanza. y salida ",esperanza
S152,docente,"mmm, siento que con la escuela voy lento; frustracion.",frustración
S151,familia,"a veces, a ratos estoy estresada; frustración. y frustración 🥲",frustración
S038,familia,Siento un nudo por la rutina; confianza.,esperanza
S104,familia,Siento un nudo por la escuela; me acelero. y miedo,ansiedad
S077,familia,"en fin, me cansa la conducta, pero sigo; me acelero.",ansiedad
S118,familia,"mmm, siento que con la evaluación voy lento; confianza. 😓",esperanza
S034,familia,"no sé, me cansa las emociones, pero sigo; en paz.",calma
S130,docente,Hoy la rutina estuvo pesado; llorar. ,tristeza
S131,familia,"como que, hoy los cambios estuvo pesado; va a mejorar. ",esperanza
S006,familia,Siento que con la tarea voy lento; calma. y en paz,calma
S017,familia,Con las emociones me siento con esperanza y enojo. y me irrita ,frustración
S099,docente,"en fin, con la escuela me siento estresada y me frustra.",frustración
S137,familia,A ratos estoy con esperanza; me frustra. 😔,frustración
S116,docente,A ratos estoy confundida; confianza.,esperanza
S108,familia,Estoy intentando con la conducta y animo.,esperanza
S075,docente,"siento que, hoy los cambios estuvo pesado; confianza.",esperanza
S148,docente,"siento q, me cansa el descanso, pero sigo; me preocupa.",ansiedad
S022,familia,A ratos estoy tensa; va a mejorar.,esperanza
S145,familia,"en fin, hoy la tarea estuvo pesado; miedo. 😮‍💨",ansiedad
S086,docente,Hoy las emociones estuvo pesado; respiro. y serena 🥲,calma
S059,familia,"tal vez, siento un nudo por los cambios; me emociona.",esperanza
S001,familia,"como que, no sé cómo manejar la escuela; va a mejorar.",esperanza
S134,familia,"tal vez, a ratos estoy agotada; contenta. y alegría",alegría
S046,familia,"mmm, noo sé cómo manejar el descanso; miedo. ",ansiedad
S068,familia,"como que, me cansa la evaluación, pero sigo; ilusión. y feliz",esperanza
S060,familia,"siento que, siento un nudo por la conducta; frustración. y desespero",frustración
S149,docente,"mmm, noo se como manejar la comunicacion; nervios. 😮‍💨",ansiedad
S109,familia,"como que, hoy la atención estuvo pesado; contenta. y feliz 😔",alegría
S004,familia,Siento un nudo por el descanso; llorar. 😔,tristeza
S074,familia,"en fin, quisiera entender los cambios para estar mejor; confianza. 🙂",esperanza
S022,familia,"pues, noo sé cómo manejar los cambios; tristeza.",tristeza
S111,docente,Con la evaluacion me siento desanimada y feliz.,alegría
S081,familia,"a veces, a ratos estoy tensa; vacio.",tristeza
S047,familia,A ratos estoy estresada; animo. y confianza,esperanza
S107,docente,"tal vez, a ratos estoy inquieta; me acelero.",ansiedad
S133,familia,"noo sé, con los cambios me siento confundida y frustración. ",frustración
S057,familia,"pues, no se como manejar la atencion; esperanza.",esperanza
S140,familia,Quisiera entender los cambios para estar mejor; me preocupa. y me preocupa ,ansiedad
S158,familia,Siento que con la tarea voy lento; alegría.,alegría
S072,docente,"Me cansa la escuela, pero sigo; feliz. y contenta",alegría
S142,familia,No se como manejar la atencion; nervios.,ansiedad
S101,docente,"mmm, hoy las emociones estuvo pesado; serena.",calma
S126,familia,Estoy intentando con la rutina y me irrita. y me frustra,frustración
S141,docente,Estoy intentando con la escuela y respiro. y en paz,calma
S116,familia,"a veces, con las emociones me siento con esperanza y ánimo. y salida",esperanza
S122,familia,Con la conducta me siento serena y me preocupa.,tristeza
S007,familia,"o sea, a ratos estoy desanimada; me frustra.",frustración
S058,familia,"la verdad, me cansa las emociones, pero sigo; respiro. y serena",calma
S017,familia,"a veces, con la rutina me siento estresada y frustracion.",frustración
S034,docente,Quisiera entender el descanso para estar mejor; frustración.,frustración
S051,familia,No se como manejar las emociones; me pone triste.,tristeza
S121,docente,Quisiera entender la tarea para estar mejor; me duele. y me pone triste,tristeza
S027,familia,"o sea, me cansa la comunicación, pero sigo; frustración.",frustración
S136,familia,Con la rutina me siento tensa y ánimo. 🙂,esperanza
S072,docente,"a veces, me cansa la atención, pero sigo; me frustra.",frustración
S040,familia,"no sé, con el descanso me siento estresada y me irrita.",ansiedad
S048,familia,"o sea, con los cambios me siento inquieta y me frustra.",frustración
S160,familia,"tal vez, siento q con la rutina voy lento; ansiedad. y ansiedad",ansiedad
S129,familia,No sé cómo manejar la evaluación; esperanza.,esperanza
S148,familia,"como q, con la rutina me siento inquieta y me acelero. ",ansiedad
S148,familia,"mmm, a ratos estoy tranquila; me irrita. y me frustra",frustración
S156,familia,A ratos estoy tensa; me acelero. y me preocupa,ansiedad
S120,docente,Con los cambios me siento agotada y ansiedad. y nervios ,ansiedad
S097,familia,Con la tarea me siento estresada y ánimo.,esperanza
S083,familia,"en fin, noo sé cómo manejar la tarea; contenta.",alegría
S153,familia,"tal vez, quisiera entender los cambios para estar mejor; salida.",esperanza
S020,familia,"como que, siento un nudo por el descanso; desespero. y me frustra 😮‍💨",frustración
S009,docente,Siento un nudo por las emociones; me acelero.,ansiedad
S035,familia,"pues, no sé cómo manejar la rutina; ansiedad. 😓",ansiedad
S033,familia,Estoy intentando con la evaluación y tranquila.,calma
S039,familia,"a veces, me cansa la tarea, pero sigo; salida.",calma
S029,familia,"a veces, hoy el descanso estuvo pesado; esperanza.",esperanza
S137,familia,A ratos estoy estresada; alegría. y contenta,alegría
S100,familia,"como que, hoy la comunicacion estuvo pesado; me pone triste. y me duele",tristeza
S114,familia,"en fin, a ratos estoy estresada; tranquila. 😮‍💨",calma
S096,familia,"Me cansa la tarea, pero sigo; ilusion. y feliz",alegría
S086,familia,"siento que, quisiera entender los cambios para estar mejor; nervios. y me preocupa",ansiedad
S046,familia,"a veces, estoy intentando con la evaluación y llorar. 😔",tristeza
S154,familia,Hoy los cambios estuvo pesado; en paz.,calma
S151,familia,Con la rutina me siento desanimada y calma.,calma
S097,familia,"pues, no se como manejar la escuela; miedo.",ansiedad
S024,familia,"pues, me cansa las emociones, pero sigo; feliz.",alegría
S072,familia,"no sé, quisiera entender la escuela para estar mejor; confianza.",esperanza
S069,docente,"mmm, con los cambios me siento inquieta y ánimo.",esperanza
S087,familia,"como que, no sé cómo manejar el descanso; salida.",esperanza
S031,docente,Siento q con la rutina voy lento; respiro. 😓,calma
S102,familia,"no sé, estoy intentando con la escuela y respiro. ",calma
S025,docente,"como que, a ratos estoy tranquila; calma. y serena",calma
S124,familia,"como que, hoy la escuela estuvo pesado; me pone triste. y tristeza",tristeza
S062,familia,"siento que, hoy la conducta estuvo pesado; llorar.",tristeza
S103,familia,Quisiera entender la rutina para estar mejor; me acelero. 😔,ansiedad
S130,familia,"pues, a ratos estoy confundida; nervios.",ansiedad
S078,familia,Hoy las emociones estuvo pesado; me frustra. y me frustra,frustración
S043,familia,Siento que con la evaluacion voy lento; va a mejorar.,esperanza
S047,familia,"la verdad, hoy la rutina estuvo pesado; me frustra. y me frustra",frustración
S050,docente,"Me cansa las emociones, pero sigo; me emociona. 😮‍💨",alegría
S079,docente,"mmm, siento que con la atencion voy lento; me preocupa.",ansiedad
S106,familia,A ratos estoy estresada; llorar. y vacío,tristeza
S040,familia,Hoy la atención estuvo pesado; me pone triste. 😮‍💨,tristeza
S029,familia,"la verdad, quisiera entender la escuela para estar mejor; me emociona. ",esperanza
S038,docente,No sé cómo manejar la tarea; me preocupa.,ansiedad
S073,familia,Siento q con la rutina voy lento; respiro.,calma
S063,familia,"siento que, me cansa la rutina, pero sigo; calma.",calma
S074,docente,Estoy intentando con la evaluación y feliz. y feliz,alegría
S078,familia,"no se, siento un nudo por la atencion; nervios. y miedo",ansiedad
S069,familia,A ratos estoy estresada; calma. y calma 🙂,calma
S094,familia,"pues, no sé cómo manejar la atención; calma. y calma",calma
S097,docente,"Me cansa los cambios, pero sigo; me preocupa. y ansiedad",ansiedad
S081,docente,Con la rutina me siento agotada y va a mejorar.,esperanza
S097,familia,"la verdad, quisiera entender el descanso para estar mejor; me duele. 🥲",tristeza
S008,docente,Hoy la conducta estuvo pesado; va a mejorar.,esperanza
S030,familia,Siento un nudo por la atencion; me duele. y tristeza,tristeza
S042,familia,Hoy la evaluación estuvo pesado; enojo.,frustración
S006,familia,Hoy la conducta estuvo pesado; nervios. 🥲,ansiedad
S117,familia,Quisiera entender las emociones para estar mejor; frustración. y desespero,frustración
S085,docente,"en fin, siento un nudo por la conducta; miedo.",ansiedad
S143,familia,"mmm, siento un nudo por la evaluación; ansiedad.",ansiedad
S144,familia,Hoy la atención estuvo pesado; esperanza.,esperanza
S145,docente,"mmm, me cansa la tarea, pero sigo; me preocupa. y me acelero 🙂",ansiedad
S064,familia,Siento un nudo por la conducta; desespero. y desespero,frustración
S018,docente,Hoy la rutina estuvo pesado; nervios.,ansiedad
S024,familia,"o sea, no sé cómo manejar el descanso; enojo. y enojo",frustración
S073,familia,"como que, quisiera entender las emociones para estar mejor; me frustra.",frustración
S081,familia,"o sea, estoy intentando con la tarea y ansiedad.",ansiedad
S091,familia,"tal vez, estoy intentando con la conducta y tranquila. y tranquila 😓",calma
S047,familia,Quisiera entender la atención para estar mejor; frustración.,frustración
S020,familia,Estoy intentando con la rutina y enojo. 😔,frustración
S087,familia,"mmm, estoy intentando con la escuela y tristeza. y me duele",tristeza
S136,familia,"pues, a ratos estoy agotada; va a mejorar. y salida ",esperanza
S072,familia,"tal vez, no sé cómo manejar la rutina; salida.",esperanza
S021,familia,"a veces, no se como manejar los cambios; feliz. ",alegría
S154,familia,Siento un nudo por la rutina; tristeza. y me duele,tristeza
S100,familia,"pues, hoy la rutina estuvo pesado; llorar.",frustración
S080,familia,"la verdad, siento un nudo por la comunicación; llorar.",tristeza
S111,familia,"tal vez, estoy intentando con la tarea y me acelero.",ansiedad
S108,familia,"Me cansa las emociones, pero sigo; me irrita. 🙂",frustración
S152,familia,Siento que con la rutina voy lento; desespero. ,frustración
S115,docente,"a veces, quisiera entender las emociones para estar mejor; ánimo. y confianza",esperanza
S032,familia,"Me cansa la tarea, pero sigo; tristeza. 🙂",tristeza
S127,docente,"como que, me cansa la evaluación, pero sigo; serena.",calma
S103,familia,"siento que, con la evaluación me siento contenta y me irrita. y me irrita",frustración
S157,familia,No se como manejar el descanso; confianza. y esperanza,esperanza
S070,familia,A ratos estoy inquieta; contenta. 😮‍💨,alegría
S032,familia,"a veces, con las emociones me siento confundida y me irrita. y frustración",frustración
S011,familia,"siento que, estoy intentando con las emociones y ansiedad. y miedo",frustración
S097,familia,"pues, siento un nudo por la escuela; tristeza. y me pone triste",tristeza
S144,familia,"como que, quisiera entender la escuela para estar mejor; salida.",esperanza
S153,familia,"pues, me cansa la tarea, pero sigo; tristeza. y me duele",tristeza
S040,familia,Siento que con la atencion voy lento; me irrita.,tristeza
S157,familia,Siento q con la evaluación voy lento; miedo. y ansiedad,ansiedad
S112,familia,"mmm, quisiera entender la evaluación para estar mejor; calma.",calma
S159,familia,"mmm, con la rutina me siento serena y desespero. y enojo",frustración
S026,familia,"siento q, con la escuela me siento tranquila y vacío.",tristeza
S001,docente,"o sea, a ratos estoy confundida; calma.",calma
S053,familia,Siento que con los cambios voy lento; enojo. y frustración,frustración
S158,familia,"a veces, no sé cómo manejar el descanso; me irrita. ",frustración
S107,docente,"a veces, a ratos estoy serena; ánimo.",esperanza
S017,familia,Siento un nudo por el descanso; ilusión. y ilusión,alegría
S143,familia,"tal vez, me cansa los cambios, pero sigo; calma. y en paz",calma
S040,familia,Con la rutina me siento inquieta y salida. 🙂,esperanza
S158,familia,"Me cansa la conducta, pero sigo; respiro. ",calma
S103,familia,"siento que, no sé cómo manejar la evaluación; me acelero.",ansiedad
S103,familia,A ratos estoy tensa; feliz.,alegría
S036,familia,"pues, estoy intentando con el descanso y alegria.",alegría
S143,familia,"la verdad, a ratos estoy tensa; me pone triste. 😮‍💨",tristeza
S123,familia,"o sea, siento un nudo por la conducta; desespero.",frustración
S077,familia,"la verdad, hoy la conducta estuvo pesado; contenta. y feliz",alegría
S120,familia,"Me cansa el descanso, pero sigo; frustración.",frustración
S080,familia,"tal vez, estoy intentando con la tarea y ansiedad. y nervios 😮‍💨",ansiedad
S063,familia,Estoy intentando con la rutina y salida. y salida,esperanza
S088,docente,"la verdad, hoy la conducta estuvo pesado; desespero.",frustración
S037,familia,"siento que, a ratos estoy estresada; me frustra.",frustración
S027,familia,Con las emociones me siento serena y tristeza. y tristeza,tristeza
S061,familia,"la verdad, me cansa la escuela, pero sigo; calma.",calma
S144,familia,"tal vez, quisiera entender la tarea para estar mejor; ánimo.",esperanza
S134,familia,No se como manejar la tarea; enojo. y enojo,frustración
S012,familia,"no sé, quisiera entender la tarea para estar mejor; llorar. ",tristeza
S049,docente,"Me cansa la rutina, pero sigo; calma.",calma
S076,docente,Siento un nudo por la rutina; ánimo. y va a mejorar,esperanza
S060,familia,"la verdad, quisiera entender la tarea para estar mejor; va a mejorar. y esperanza",esperanza
S114,familia,"mmm, me cansa la evaluacion, pero sigo; va a mejorar.",esperanza
S038,familia,"Me cansa el descanso, pero sigo; en paz.",calma
S082,familia,"la verdad, hoy la comunicación estuvo pesado; me irrita.",frustración
S049,docente,"la verdad, quisiera entender el descanso para estar mejor; miedo. y me acelero",ansiedad
S002,familia,Quisiera entender las emociones para estar mejor; me emociona.,alegría
S110,docente,"mmm, me cansa los cambios, pero sigo; vacío.",tristeza
S138,familia,Quisiera entender la rutina para estar mejor; respiro.,calma
S160,familia,"la verdad, no sé cómo manejar la tarea; me preocupa. y me preocupa 😓",ansiedad
S076,familia,"la verdad, estoy intentando con la atención y ánimo.",esperanza
S008,familia,Siento un nudo por la conducta; me acelero.,ansiedad
S105,familia,"a veces, siento un nudo por la conducta; vacío. y vacío",frustración
S090,docente,Quisiera entender la atención para estar mejor; confianza.,esperanza
S010,docente,No sé cómo manejar la atención; tristeza.,tristeza
S135,familia,Hoy la evaluación estuvo pesado; confianza.,esperanza
S149,familia,A ratos estoy agotada; miedo.,ansiedad
S057,familia,"o sea, siento un nudo por la atención; me frustra.",frustración
S137,familia,"o sea, no se como manejar la evaluacion; animo. y confianza",esperanza
S085,familia,Hoy los cambios estuvo pesado; frustración.,frustración
S107,familia,Siento un nudo por la rutina; enoojo. ,frustración
S104,familia,"pues, siento un nudo por la tarea; tristeza.",tristeza
S147,familia,"siento que, hoy la atención estuvo pesado; confianza. y ánimo 🥲",esperanza
S057,familia,"a veces, me cansa las emociones, pero sigo; confianza. ",esperanza
S096,docente,Estoy intentando con las emociones y me acelero. ,ansiedad
S072,familia,"como q, con la atencion me siento confundida y respiro.",calma
S106,docente,"no se, a ratos estoy con esperanza; me emociona.",alegría
S010,familia,Con la evaluacion me siento desanimada y ansiedad.,ansiedad
S123,familia,Quisiera entender los cambios para estar mejor; feliz. y alegría,alegría
S005,familia,Siento un nudo por la atención; salida. y salida,esperanza
S140,familia,Quisiera entender las emociones para estar mejor; vacío.,tristeza
S127,familia,Siento q con los cambios voy lento; en paz.,esperanza
S074,docente,"pues, noo sé cómo manejar las emociones; nervios. y nervios",ansiedad
S109,docente,Con la comunicacion me siento tensa y tranquila. y respiro,calma
S091,docente,"a veces, con la escuela me siento estresada y en paz. ",calma
S063,familia,Hoy el descanso estuvo pesado; me emociona.,alegría
S048,familia,"a veces, con la rutina me siento inquieta y respiro.",esperanza
S012,familia,"o sea, hoy la rutina estuvo pesado; llorar. y me duele",tristeza
S084,familia,"tal vez, a ratos estoy estresada; calma.",calma
S048,familia,Siento un nudo por la conducta; contenta.,alegría
S152,familia,Siento que con la conducta voy lento; desespero. y me irrita,frustración
S058,docente,"tal vez, hoy la comunicación estuvo pesado; me frustra.",frustración
S150,familia,Estoy intentando con la escuela y nervios. 😓,ansiedad
S072,docente,A ratos estoy tranquila; tristeza. y tristeza,tristeza
S094,familia,Siento que con la escuela voy lento; me acelero.,ansiedad
S040,docente,"Me cansa la atencion, pero sigo; animo. y salida",esperanza
S025,docente,Siento que con la comunicacion voy lento; desespero.,frustración
S042,docente,Siento que con el descanso voy lento; va a mejorar. 😓,esperanza
S088,familia,"pues, a ratos estoy tensa; contenta. y contenta",alegría
S026,familia,"a veces, a ratos estoy con esperanza; llorar. y vacio",tristeza
S129,familia,Con la evaluacion me siento inquieta y me preocupa.,ansiedad
S109,familia,No se como manejar las emociones; desespero.,frustración
S118,docente,"mmm, siento un nudo por la rutina; calma.",esperanza
S123,docente,"como que, hoy la escuela estuvo pesado; me duele. y me pone triste",frustración
S145,docente,A ratos estoy estresada; respiro.,calma
S084,familia,Quisiera entender la rutina para estar mejor; ilusión. y feliz,alegría
S107,docente,Hoy la escuela estuvo pesado; me pone triste.,tristeza
